Name,Address,Latitude,Longitude,rating,user_ratings_total,phone,website,price_level,Place ID,category
Farmacia San Pablo Nuevo León,"Av Nuevo León 204-Local A, Hipódromo, Cuauhtémoc, 06100 Ciudad de México, CDMX, Mexico",19.405335,-99.171118,3.9,,,,,ChIJz1EVTGr_0YUR2Ra94FVt_y4,pharmacy
Farmacia San Pablo,"Av. Cuauhtémoc 114, Doctores, Cuauhtémoc, 06720 Ciudad de México, CDMX, Mexico",19.420269,-99.153721,4,,,,,ChIJPdugQ_340YURHXPTP2GOqhY,pharmacy
Farmacia Guadalajara Campeche,"Campeche 90, Roma Sur, Cuauhtémoc, 06760 Ciudad de México, CDMX, Mexico",19.410106,-99.1627411,3.5,,,,,ChIJo-HdbT7_0YURzjIdJLSFpvE,pharmacy
Sanborns,"Fray Servando Teresa de Mier 647, Jardín Balbuena, Venustiano Carranza, 15900 Ciudad de México, CDMX, Mexico",19.4198541,-99.1146372,4.2,,,,,ChIJ5XWI_Lr-0YURMeBdUp5HsAk,pharmacy
Bodega Aurrera Etzatlán,"Etzatlán 25, Popular Rastro, Venustiano Carranza, 15220 Ciudad de México, CDMX, Mexico",19.4518005,-99.1195796,4.1,,,,,ChIJdblQ0Eb50YUR2zRtZmUdlWE,pharmacy
Walmart,"Av. Insurgentes Nte. 131, Buenavista, Cuauhtémoc, 06350 Ciudad de México, CDMX, Mexico",19.443986,-99.1531529,4.2,,,,,ChIJxcJ9j9D40YURbZF1Iup_gOA,department_store
Walmart,"Calz de Guadalupe 431, Guadalupe Tepeyac, Gustavo A. Madero, 07840 Ciudad de México, CDMX, Mexico",19.4720291,-99.1207007,4.2,,,,,ChIJ7WbaRYIBzoURVk8XlOjLO8Y,department_store
Liverpool Centro Histórico,"C. de Venustiano Carranza 92, Colonia Centro, Centro, Cuauhtémoc, 06060 Ciudad de México, CDMX, Mexico",19.4310148,-99.1334484,4.4,,,,,ChIJL4SlAc3-0YURjJmxLM6XHLo,department_store
Walmart Supercenter,"Calz. Ignacio Zaragoza 58, Industrial Puerto Aéreo, Venustiano Carranza, 15710 Ciudad de México, CDMX, Mexico",19.4195267,-99.0938122,4.1,,,,,ChIJAS7V267-0YURN-FO0qblu9Y,department_store
Pabellón Cuauhtémoc,"C. Antonio M. Anza 20, Centro Urbano Pdte. Juárez, Roma Sur, Cuauhtémoc, 06700 Ciudad de México, CDMX, Mexico",19.411284,-99.1558475,4.2,,,,,ChIJJ4s8gsr_0YUR9h7V6FNd_YY,department_store
Liverpool,"Av. Cuauhtémoc 462, Narvarte Poniente, Benito Juárez, 03020 Ciudad de México, CDMX, Mexico",19.403409399999997,-99.1549139,4.5,,,,,ChIJizRu1Ob_0YUREQUof1zCiOc,department_store
Walmart,"Fray Servando Teresa de Mier 881, Jardín Balbuena, Venustiano Carranza, 15900 Ciudad de México, CDMX, Mexico",19.4175589,-99.1056896,4.1,,,,,ChIJNd2MJaf-0YURT96J1oOa5tM,department_store
